,Date_Fact,item_ID,Stock,Site,Cnt,Date_plan,SWAP,NS,difference
78,2020-09-02,238.022.000029,СЗ,78_03145,18.0,2021-06-15,0.0,1.0,-286
79,2020-09-02,238.022.000029,СЗ,78_03145,18.0,2021-06-15,0.0,1.0,-286
80,2020-09-02,238.022.000029,СЗ,78_03145,18.0,2021-12-07,0.0,1.0,-461
81,2020-09-02,144.022.000673,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
82,2020-09-02,144.022.000673,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
83,2020-09-02,144.022.000673,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-461
84,2020-09-02,248.346.000191,СЗ,78_03145,168.0,2021-06-15,0.0,1.0,-286
85,2020-09-02,248.346.000191,СЗ,78_03145,168.0,2021-06-15,0.0,1.0,-286
86,2020-09-02,248.346.000191,СЗ,78_03145,168.0,2021-12-07,0.0,1.0,-461
87,2020-09-02,145.022.000051,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
88,2020-09-02,145.022.000051,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
89,2020-09-02,145.022.000051,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-461
90,2020-09-02,144.022.000729,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
91,2020-09-02,144.022.000729,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-286
92,2020-09-02,144.022.000729,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-461
93,2020-09-02,216.346.001838,СЗ,78_03145,36.0,2021-06-15,0.0,1.0,-286
94,2020-09-02,216.346.001838,СЗ,78_03145,36.0,2021-06-15,0.0,1.0,-286
95,2020-09-02,216.346.001838,СЗ,78_03145,36.0,2021-12-07,0.0,1.0,-461
96,2020-09-02,144.022.000694,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-286
97,2020-09-02,144.022.000694,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-286
98,2020-09-02,144.022.000694,СЗ,78_03145,2.0,2021-12-07,0.0,1.0,-461
99,2020-09-02,243.022.000205,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
100,2020-09-02,243.022.000205,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-286
101,2020-09-02,243.022.000205,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-461
102,2020-09-12,144.022.000710,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-276
103,2020-09-12,144.022.000710,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-276
104,2020-09-12,144.022.000710,СЗ,78_03145,2.0,2021-12-07,0.0,1.0,-451
105,2020-09-12,144.022.000713,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-276
106,2020-09-12,144.022.000713,СЗ,78_03145,3.0,2021-06-15,0.0,1.0,-276
107,2020-09-12,144.022.000713,СЗ,78_03145,3.0,2021-12-07,0.0,1.0,-451
108,2020-09-12,248.346.000192,СЗ,78_03145,4.0,2021-06-15,0.0,1.0,-276
109,2020-09-12,248.346.000192,СЗ,78_03145,4.0,2021-06-15,0.0,1.0,-276
110,2020-09-12,248.346.000192,СЗ,78_03145,4.0,2021-12-07,0.0,1.0,-451
111,2020-09-12,248.346.000160,СЗ,78_03145,4.0,2021-06-15,0.0,1.0,-276
112,2020-09-12,248.346.000160,СЗ,78_03145,4.0,2021-06-15,0.0,1.0,-276
113,2020-09-12,248.346.000160,СЗ,78_03145,4.0,2021-12-07,0.0,1.0,-451
114,2020-09-12,144.022.000722,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-276
115,2020-09-12,144.022.000722,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-276
116,2020-09-12,144.022.000722,СЗ,78_03145,2.0,2021-12-07,0.0,1.0,-451
117,2020-09-12,248.346.000193,СЗ,78_03145,4.0,2021-06-15,0.0,1.0,-276
118,2020-09-12,248.346.000193,СЗ,78_03145,4.0,2021-06-15,0.0,1.0,-276
119,2020-09-12,248.346.000193,СЗ,78_03145,4.0,2021-12-07,0.0,1.0,-451
120,2021-04-02,219.022.000027,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
121,2021-04-02,219.022.000027,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
122,2021-04-02,219.022.000027,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-249
123,2021-04-02,132.346.000710,СЗ,78_03145,12.0,2021-06-15,0.0,1.0,-74
124,2021-04-02,132.346.000710,СЗ,78_03145,12.0,2021-06-15,0.0,1.0,-74
125,2021-04-02,132.346.000710,СЗ,78_03145,12.0,2021-12-07,0.0,1.0,-249
126,2021-04-02,144.022.000853,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
127,2021-04-02,144.022.000853,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
128,2021-04-02,144.022.000853,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-249
129,2021-04-02,261.348.000063,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-74
130,2021-04-02,261.348.000063,СЗ,78_03145,2.0,2021-06-15,0.0,1.0,-74
131,2021-04-02,261.348.000063,СЗ,78_03145,2.0,2021-12-07,0.0,1.0,-249
132,2021-04-02,248.346.000191,СЗ,78_03145,168.0,2021-06-15,0.0,1.0,-74
133,2021-04-02,248.346.000191,СЗ,78_03145,168.0,2021-06-15,0.0,1.0,-74
134,2021-04-02,248.346.000191,СЗ,78_03145,168.0,2021-12-07,0.0,1.0,-249
135,2021-04-02,132.346.000740,СЗ,78_03145,12.0,2021-06-15,0.0,1.0,-74
136,2021-04-02,132.346.000740,СЗ,78_03145,12.0,2021-06-15,0.0,1.0,-74
137,2021-04-02,132.346.000740,СЗ,78_03145,12.0,2021-12-07,0.0,1.0,-249
138,2021-04-02,132.346.000714,СЗ,78_03145,24.0,2021-06-15,0.0,1.0,-74
139,2021-04-02,132.346.000714,СЗ,78_03145,24.0,2021-06-15,0.0,1.0,-74
140,2021-04-02,132.346.000714,СЗ,78_03145,24.0,2021-12-07,0.0,1.0,-249
141,2021-04-02,144.022.000866,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
142,2021-04-02,144.022.000866,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
143,2021-04-02,144.022.000866,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-249
144,2021-04-02,144.022.000809,СЗ,78_03145,6.0,2021-06-15,0.0,1.0,-74
145,2021-04-02,144.022.000809,СЗ,78_03145,6.0,2021-06-15,0.0,1.0,-74
146,2021-04-02,144.022.000809,СЗ,78_03145,6.0,2021-12-07,0.0,1.0,-249
147,2021-04-02,212.346.002646,СЗ,78_03145,18.0,2021-06-15,0.0,1.0,-74
148,2021-04-02,212.346.002646,СЗ,78_03145,18.0,2021-06-15,0.0,1.0,-74
149,2021-04-02,212.346.002646,СЗ,78_03145,18.0,2021-12-07,0.0,1.0,-249
150,2021-04-02,212.346.002604,СЗ,78_03145,20.0,2021-06-15,0.0,1.0,-74
151,2021-04-02,212.346.002604,СЗ,78_03145,20.0,2021-06-15,0.0,1.0,-74
152,2021-04-02,212.346.002604,СЗ,78_03145,20.0,2021-12-07,0.0,1.0,-249
153,2021-04-02,261.348.000059,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
154,2021-04-02,261.348.000059,СЗ,78_03145,1.0,2021-06-15,0.0,1.0,-74
155,2021-04-02,261.348.000059,СЗ,78_03145,1.0,2021-12-07,0.0,1.0,-249
156,2020-09-02,243.022.000206,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-233
157,2020-09-02,243.022.000206,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-455
158,2020-09-02,144.022.000836,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
159,2020-09-02,144.022.000836,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
160,2020-09-02,144.022.000660,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
161,2020-09-02,144.022.000660,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
162,2020-09-02,144.022.000662,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
163,2020-09-02,144.022.000662,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
164,2020-09-02,144.022.000673,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-233
165,2020-09-02,144.022.000673,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-455
166,2020-09-02,216.346.001843,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-233
167,2020-09-02,216.346.001843,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-455
168,2020-09-02,144.022.000726,СЗ,78_02643,12.0,2021-04-23,0.0,1.0,-233
169,2020-09-02,144.022.000726,СЗ,78_02643,12.0,2021-12-01,0.0,1.0,-455
170,2020-09-02,248.346.000191,СЗ,78_02643,360.0,2021-04-23,0.0,1.0,-233
171,2020-09-02,248.346.000191,СЗ,78_02643,360.0,2021-12-01,0.0,1.0,-455
172,2020-09-02,144.022.000667,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
173,2020-09-02,144.022.000667,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
174,2020-09-02,216.346.001839,СЗ,78_02643,400.0,2021-04-23,0.0,1.0,-233
175,2020-09-02,216.346.001839,СЗ,78_02643,400.0,2021-12-01,0.0,1.0,-455
176,2020-09-02,144.022.000709,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
177,2020-09-02,144.022.000709,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
178,2020-09-02,216.346.001836,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
179,2020-09-02,216.346.001836,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
180,2020-09-02,244.022.000007,СЗ,78_02643,6.0,2021-04-23,0.0,1.0,-233
181,2020-09-02,244.022.000007,СЗ,78_02643,6.0,2021-12-01,0.0,1.0,-455
182,2020-09-02,244.022.000013,СЗ,78_02643,2.0,2021-04-23,0.0,1.0,-233
183,2020-09-02,244.022.000013,СЗ,78_02643,2.0,2021-12-01,0.0,1.0,-455
184,2020-09-02,145.022.000042,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-233
185,2020-09-02,145.022.000042,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-455
186,2020-09-02,216.346.001838,СЗ,78_02643,48.0,2021-04-23,0.0,1.0,-233
187,2020-09-02,216.346.001838,СЗ,78_02643,48.0,2021-12-01,0.0,1.0,-455
188,2020-09-02,248.346.000160,СЗ,78_02643,20.0,2021-04-23,0.0,1.0,-233
189,2020-09-02,248.346.000160,СЗ,78_02643,20.0,2021-12-01,0.0,1.0,-455
190,2020-09-02,144.022.000729,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
191,2020-09-02,144.022.000729,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
192,2020-09-02,144.022.000668,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-233
193,2020-09-02,144.022.000668,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-455
194,2020-09-02,144.022.000661,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-233
195,2020-09-02,144.022.000661,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-455
196,2020-09-02,216.346.001835,СЗ,78_02643,6.0,2021-04-23,0.0,1.0,-233
197,2020-09-02,216.346.001835,СЗ,78_02643,6.0,2021-12-01,0.0,1.0,-455
198,2020-09-02,238.022.000022,СЗ,78_02643,24.0,2021-04-23,0.0,1.0,-233
199,2020-09-02,238.022.000022,СЗ,78_02643,24.0,2021-12-01,0.0,1.0,-455
200,2021-03-19,144.022.000811,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-35
201,2021-03-19,144.022.000811,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-257
202,2021-03-19,248.346.000200,СЗ,78_02643,192.0,2021-04-23,0.0,1.0,-35
203,2021-03-19,248.346.000200,СЗ,78_02643,192.0,2021-12-01,0.0,1.0,-257
204,2021-03-19,238.022.000059,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-35
205,2021-03-19,238.022.000059,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-257
206,2021-03-19,144.022.000853,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-35
207,2021-03-19,144.022.000853,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-257
208,2021-03-19,238.022.000058,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-35
209,2021-03-19,238.022.000058,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-257
210,2021-03-31,151.346.001442,СЗ,78_02643,3.0,2021-04-23,0.0,1.0,-23
211,2021-03-31,151.346.001442,СЗ,78_02643,3.0,2021-12-01,0.0,1.0,-245
212,2021-03-31,151.346.001438,СЗ,78_02643,1.0,2021-04-23,0.0,1.0,-23
213,2021-03-31,151.346.001438,СЗ,78_02643,1.0,2021-12-01,0.0,1.0,-245
214,2021-04-27,261.348.000066,СЗ,78_02643,2.0,2021-04-23,0.0,1.0,4
215,2021-04-27,261.348.000066,СЗ,78_02643,2.0,2021-12-01,0.0,1.0,-218
216,2020-09-02,238.022.000050,СЗ,78_03215,3.0,2021-07-05,0.0,1.0,-306
217,2020-09-02,144.022.000812,СЗ,78_03215,1.0,2021-07-05,0.0,1.0,-306
218,2020-09-02,248.020.000065,СЗ,78_03215,200.0,2021-07-05,0.0,1.0,-306
219,2020-09-02,145.022.000042,СЗ,78_03215,3.0,2021-07-05,0.0,1.0,-306
220,2020-09-02,238.022.000051,СЗ,78_03215,3.0,2021-07-05,0.0,1.0,-306
221,2020-09-02,144.022.000811,СЗ,78_03215,2.0,2021-07-05,0.0,1.0,-306
222,2020-09-02,144.022.000860,СЗ,78_03215,1.0,2021-07-05,0.0,1.0,-306
223,2020-09-02,261.348.000064,СЗ,78_03215,2.0,2021-07-05,0.0,1.0,-306
224,2020-09-02,145.022.000042,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
225,2020-09-02,145.022.000042,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
226,2020-09-02,144.022.000661,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
227,2020-09-02,144.022.000661,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
228,2020-09-02,144.022.000709,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
229,2020-09-02,144.022.000709,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
230,2020-09-02,244.022.000025,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
231,2020-09-02,244.022.000025,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
232,2020-09-02,238.022.000024,СЗ,78_03476,12.0,2021-02-25,0.0,1.0,-176
233,2020-09-02,238.022.000024,СЗ,78_03476,12.0,2021-02-25,0.0,1.0,-176
234,2020-09-02,144.022.000726,СЗ,78_03476,6.0,2021-02-25,0.0,1.0,-176
235,2020-09-02,144.022.000726,СЗ,78_03476,6.0,2021-02-25,0.0,1.0,-176
236,2020-09-02,216.346.001839,СЗ,78_03476,300.0,2021-02-25,0.0,1.0,-176
237,2020-09-02,216.346.001839,СЗ,78_03476,300.0,2021-02-25,0.0,1.0,-176
238,2020-09-02,216.346.001836,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
239,2020-09-02,216.346.001836,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
240,2020-09-02,244.022.000013,СЗ,78_03476,2.0,2021-02-25,0.0,1.0,-176
241,2020-09-02,244.022.000013,СЗ,78_03476,2.0,2021-02-25,0.0,1.0,-176
242,2020-09-02,216.346.001838,СЗ,78_03476,24.0,2021-02-25,0.0,1.0,-176
243,2020-09-02,216.346.001838,СЗ,78_03476,24.0,2021-02-25,0.0,1.0,-176
244,2020-09-02,216.346.001843,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
245,2020-09-02,216.346.001843,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
246,2020-09-02,144.022.000922,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
247,2020-09-02,144.022.000922,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
248,2020-09-02,144.022.000729,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
249,2020-09-02,144.022.000729,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
250,2020-09-02,216.346.001835,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
251,2020-09-02,216.346.001835,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
252,2020-09-02,144.022.000663,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
253,2020-09-02,144.022.000663,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
254,2020-09-02,144.022.000660,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
255,2020-09-02,144.022.000660,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
256,2020-09-02,144.022.000662,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
257,2020-09-02,144.022.000662,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-176
258,2020-09-02,248.346.000191,СЗ,78_03476,195.0,2021-02-25,0.0,1.0,-176
259,2020-09-02,248.346.000191,СЗ,78_03476,195.0,2021-02-25,0.0,1.0,-176
260,2020-09-02,248.346.000160,СЗ,78_03476,29.0,2021-02-25,0.0,1.0,-176
261,2020-09-02,248.346.000160,СЗ,78_03476,29.0,2021-02-25,0.0,1.0,-176
262,2020-09-02,243.022.000206,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
263,2020-09-02,243.022.000206,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,-176
264,2020-10-29,169.036.000001,СЗ,78_03476,2.0,2021-02-25,0.0,1.0,-119
265,2020-10-29,169.036.000001,СЗ,78_03476,2.0,2021-02-25,0.0,1.0,-119
266,2020-10-29,772.036.000179,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-119
267,2020-10-29,772.036.000179,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-119
268,2020-10-29,244.346.000367,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-119
269,2020-10-29,244.346.000367,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,-119
270,2021-03-31,144.022.000866,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,34
271,2021-03-31,144.022.000866,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,34
272,2021-03-31,248.346.000200,СЗ,78_03476,420.0,2021-02-25,0.0,1.0,34
273,2021-03-31,248.346.000200,СЗ,78_03476,420.0,2021-02-25,0.0,1.0,34
274,2021-03-31,132.346.000714,СЗ,78_03476,12.0,2021-02-25,0.0,1.0,34
275,2021-03-31,132.346.000714,СЗ,78_03476,12.0,2021-02-25,0.0,1.0,34
276,2021-03-31,238.022.000058,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,34
277,2021-03-31,238.022.000058,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,34
278,2021-03-31,238.022.000059,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,34
279,2021-03-31,238.022.000059,СЗ,78_03476,3.0,2021-02-25,0.0,1.0,34
280,2021-03-31,144.022.000811,СЗ,78_03476,6.0,2021-02-25,0.0,1.0,34
281,2021-03-31,144.022.000811,СЗ,78_03476,6.0,2021-02-25,0.0,1.0,34
282,2021-03-31,144.022.000853,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,34
283,2021-03-31,144.022.000853,СЗ,78_03476,1.0,2021-02-25,0.0,1.0,34
284,2020-09-02,144.022.000613,СЗ,78_03093,3.0,2021-12-07,0.0,1.0,-461
285,2020-09-02,145.022.000033,СЗ,78_03093,3.0,2021-12-07,0.0,1.0,-461
286,2020-09-02,248.346.000160,СЗ,78_03093,20.0,2021-12-07,0.0,1.0,-461
287,2020-09-02,216.346.001843,СЗ,78_03093,3.0,2021-12-07,0.0,1.0,-461
288,2020-09-02,144.022.000726,СЗ,78_03093,12.0,2021-12-07,0.0,1.0,-461
289,2020-09-02,144.022.000660,СЗ,78_03093,1.0,2021-12-07,0.0,1.0,-461
